,2024-09-01,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-07,2024-09-08,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-14,2024-09-15,2024-09-16,2024-09-17,2024-09-18,2024-09-19,2024-09-20,2024-09-21,2024-09-22,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-28,2024-09-29,2024-09-30,Workday,7 Day,Count
00:00:00,114,45,34,49,55,72,138,133,79,76,62,101,152,117,156,61,62,64,78,114,102,144,64,47,60,60,122,127,174,48,72,89,2710
01:00:00,116,21,19,23,29,29,91,135,56,47,67,46,99,113,136,35,64,55,28,102,104,135,30,18,41,32,72,85,162,17,44,66,2007
02:00:00,102,23,31,17,15,20,94,114,54,35,61,49,95,97,104,34,32,49,52,99,85,114,23,24,40,34,81,113,147,15,42,61,1853
03:00:00,74,17,11,13,23,23,51,85,31,28,41,38,80,45,73,17,27,12,19,48,67,91,20,16,15,25,38,60,85,14,26,39,1187
04:00:00,48,15,17,15,23,17,31,59,25,22,20,27,32,18,29,19,22,18,19,26,19,36,16,20,15,17,19,31,39,14,20,24,728
05:00:00,28,45,56,52,44,43,23,27,71,57,64,58,50,20,24,48,55,50,49,48,20,20,53,56,54,56,54,34,37,44,53,45,1340
06:00:00,32,171,178,181,167,166,80,44,151,166,169,182,190,82,45,151,162,169,175,164,68,45,166,175,161,168,176,68,48,157,169,137,4057
07:00:00,105,590,614,607,639,586,163,115,627,637,617,632,585,155,117,626,654,656,641,602,179,132,622,662,645,650,567,170,122,566,620,483,14283
08:00:00,161,900,914,892,910,766,305,156,798,936,929,936,847,285,156,988,965,996,956,900,335,160,986,946,942,1007,893,296,135,927,921,721,21323
09:00:00,266,571,615,635,633,629,512,302,691,663,671,689,583,477,260,891,699,662,643,595,440,256,638,753,797,676,623,473,189,688,669,579,17220
10:00:00,356,478,514,554,493,536,560,384,519,554,579,555,524,560,348,554,572,554,528,548,525,381,522,554,561,580,533,548,261,611,544,513,15346
11:00:00,481,458,493,589,546,554,619,526,543,499,546,589,590,578,450,568,526,568,524,606,638,471,527,567,537,572,637,624,396,513,550,545,16335
12:00:00,517,532,527,626,570,617,706,568,607,546,667,597,652,690,558,604,613,642,611,675,659,526,599,630,649,586,708,683,412,626,614,607,18203
13:00:00,575,564,620,749,578,624,714,627,575,696,728,689,708,695,589,633,686,724,625,695,623,634,605,670,813,620,774,704,417,647,668,654,19601
14:00:00,568,575,587,634,686,655,653,594,605,594,684,662,755,618,585,597,636,674,700,723,582,563,574,647,646,631,690,649,399,659,648,628,18825
15:00:00,565,731,775,766,796,737,631,601,771,814,768,851,931,643,556,786,820,854,792,802,550,564,840,832,773,812,742,601,371,763,798,731,21838
16:00:00,483,759,821,842,816,804,636,580,890,848,863,875,788,583,563,941,837,1049,868,847,629,549,924,1002,816,852,775,610,379,891,862,775,23120
17:00:00,467,763,741,828,760,705,555,563,813,861,772,806,733,532,626,838,780,848,789,784,488,502,841,871,863,834,770,579,399,812,801,721,21523
18:00:00,406,514,616,596,619,582,522,527,597,633,770,603,621,472,531,649,624,769,625,619,414,459,719,669,668,654,658,542,385,633,640,592,17696
19:00:00,415,471,529,513,521,529,523,442,487,507,586,637,592,441,495,556,538,518,568,572,517,470,517,470,529,529,588,540,337,502,536,516,15439
20:00:00,317,384,425,409,493,421,400,354,418,429,478,581,381,342,387,433,426,539,531,443,350,347,413,422,466,487,423,343,280,410,448,419,12532
21:00:00,190,277,329,312,309,320,258,254,246,323,433,419,305,242,238,267,367,376,386,316,277,231,320,320,326,333,294,246,191,290,327,301,8995
22:00:00,138,133,141,169,161,258,208,164,194,214,224,271,257,195,153,189,226,224,232,257,211,141,199,174,224,219,238,239,112,181,209,199,5946
23:00:00,71,72,95,88,111,156,183,105,97,102,109,173,189,176,111,81,81,100,142,165,182,117,77,97,117,124,181,188,55,82,116,121,3627
